module	entry	function	oracle_status	coverage_status	instruction_count	executed_instruction_count	conditional_branch_count	branch_edge_count	covered_branch_edge_count	missing_branch_edges
scrut	0x0018d9	xdb_scrut_slot2_steering_helper	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	46	0	7	14	0	0x18f6->0x18f8,0x18f6->0x1950,0x18fe->0x1900,0x18fe->0x1903,0x1906->0x1908,0x1906->0x190b,0x1913->0x1915,0x1913->0x191a,0x191d->0x191f,0x191d->0x1922,0x1925->0x1927,0x1925->0x192a,0x194b->0x1942,0x194b->0x194d
scrut	0x001952	xdb_scrut_slot2_finish_setup	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	1	0	0	0	0	-
scrut	0x001957	xdb_scrut_slot2_finish_update	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	31	0	3	6	0	0x1978->0x197a,0x1978->0x1995,0x198b->0x198d,0x198b->0x1994,0x1997->0x1999,0x1997->0x199e
scrut	0x0019cf	xdb_scrut_slot2_selection_reset_restart	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	12	0	0	0	0	-
scrut	0x001a03	xdb_scrut_slot2_active_reset_setup	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	2	0	0	0	0	-
scrut	0x001a11	xdb_scrut_slot2_reset_or_camera	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	81	0	5	10	0	0x1a22->0x1a24,0x1a22->0x1a92,0x1a4a->0x1a4c,0x1a4a->0x1a55,0x1a6b->0x1a6d,0x1a6b->0x1a70,0x1a79->0x1a7b,0x1a79->0x1a83,0x1a86->0x1781,0x1a86->0x1a8a
scrut	0x001b3b	xdb_scrut_unreferenced_steering_update	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	22	0	2	4	0	0x1b66->0x1b68,0x1b66->0x1b6b,0x1b75->0x1b77,0x1b75->0x1b79
amer	0x001286	xdb_amer_method_slot_3_update_or_init	natural_candidate_oracle_verified_codegen_mismatch	complete	76	76	7	14	14	-
amer	0x001b5f	xdb_amer_method_slot_8_apply_sample_delta	natural_candidate_oracle_verified_codegen_mismatch	complete	17	17	1	2	2	-
amer	0x001b8f	xdb_amer_method_slot_9_apply_scaled_sample_delta	natural_candidate_oracle_verified_codegen_mismatch	complete	18	18	1	2	2	-
amer	0x001dd6	xdb_amer_method_noop	natural_candidate_oracle_verified_codegen_accepted	complete	1	1	0	0	0	-
amer	0x001bea	xdb_amer_method_slot_13_resume_or_init	natural_candidate_oracle_verified_codegen_mismatch	complete	8	8	1	2	2	-
croolis	0x00022a	xdb_croolis_mouse_camera_step	natural_candidate_oracle_verified_codegen_mismatch	complete	70	69	12	24	24	-
croolis	0x00034b	xdb_croolis_mouse_bounds_set	natural_candidate_oracle_verified_codegen_mismatch	complete	9	9	0	0	0	-
croolis	0x000305	xdb_croolis_vga_clear_and_sync	natural_candidate_oracle_verified_codegen_mismatch	complete	30	30	3	6	6	-
croolis	0x00035c	xdb_croolis_mouse_position_set	natural_candidate_oracle_verified_codegen_accepted	complete	5	5	0	0	0	-
croolis	0x000999	xdb_croolis_method_slot_6_wrap_positions	natural_candidate_oracle_verified_codegen_mismatch	complete	31	31	1	2	2	-
croolis	0x000966	xdb_croolis_method_slot_10_bounds_then_wrap	natural_candidate_oracle_verified_codegen_mismatch	complete	17	17	5	10	10	-
croolis	0x000a30	xdb_croolis_method_slot_1_wave_update_or_init	natural_candidate_oracle_verified_codegen_mismatch	complete	100	100	13	26	26	-
croolis	0x000b50	xdb_croolis_method_slot_11_anchor_state	natural_candidate_oracle_verified_codegen_accepted	complete	5	5	0	0	0	-
croolis	0x000b60	xdb_croolis_method_slot_12_apply_delta	natural_candidate_oracle_verified_codegen_mismatch	complete	6	6	1	2	2	-
croolis	0x0016a4	xdb_croolis_method_slot_2_4_dispatch_or_init	natural_candidate_oracle_verified_codegen_mismatch	complete	33	33	2	4	4	-
croolis	0x0012de	xdb_croolis_method_slot_3_update_or_init	natural_candidate_oracle_verified_codegen_mismatch	complete	76	76	7	14	14	-
croolis	0x001acb	xdb_croolis_method_slot_8_apply_sample_delta	natural_candidate_oracle_verified_codegen_mismatch	complete	17	17	1	2	2	-
croolis	0x001afb	xdb_croolis_method_slot_9_apply_scaled_sample_delta	natural_candidate_oracle_verified_codegen_mismatch	complete	18	18	1	2	2	-
croolis	0x001d27	xdb_croolis_method_noop	natural_candidate_oracle_verified_codegen_accepted	complete	1	1	0	0	0	-
croolis	0x001b46	xdb_croolis_method_slot_13_resume_or_init	natural_candidate_oracle_verified_codegen_mismatch	complete	8	8	1	2	2	-
manu3	0x000000	xdb_manu3_api_entry	natural_candidate_oracle_verified_codegen_mismatch	complete	83	83	4	8	8	-
