component	entry	rust_path	rust_symbol
bloodprg	0x0040d0	crates/commander-blood-game/src/native/bloodprg/sprite_geometry.rs	populate_bridge_sprite_from_cache
bloodprg	0x00414e	crates/commander-blood-game/src/native/bloodprg/sprite_geometry.rs	populate_bridge_sprite_from_resolved_resource
bloodprg	0x0043f7	crates/commander-blood-game/src/native/bloodprg/sprite_geometry.rs	commit_bridge_sprite_dirty_range
bloodprg	0x004471	crates/commander-blood-game/src/native/bloodprg/sprite_geometry.rs	render_bridge_sprite_dirty_range
bloodprg	0x004536	crates/commander-blood-game/src/native/bloodprg/sprite_blitter.rs	blit_raw_transparent_sprite
bloodprg	0x0046bc	crates/commander-blood-game/src/native/bloodprg/sprite_blitter.rs	blit_rle_transparent_sprite
bloodprg	0x00509d	crates/commander-blood-game/src/native/bloodprg/framebuffer_copy.rs	copy_dirty_regions_to_display
bloodprg	0x0030cd	crates/commander-blood-game/src/native/bloodprg/font.rs	measure_game_text_width
bloodprg	0x0032ac	crates/commander-blood-game/src/native/bloodprg/raster_primitives.rs	draw_horizontal_span
bloodprg	0x003321	crates/commander-blood-game/src/native/bloodprg/raster_primitives.rs	draw_vertical_span
bloodprg	0x00339e	crates/commander-blood-game/src/native/bloodprg/raster_primitives.rs	remap_framebuffer_rect
bloodprg	0x003c6c	crates/commander-blood-game/src/native/bloodprg/raster_primitives.rs	fill_framebuffer_rect
bloodprg	0x0039bb	crates/commander-blood-game/src/native/bloodprg/raster_primitives.rs	draw_planar_horizontal_span
bloodprg	0x003ab3	crates/commander-blood-game/src/native/bloodprg/raster_primitives.rs	draw_planar_vertical_span
bloodprg	0x003b45	crates/commander-blood-game/src/native/bloodprg/raster_primitives.rs	draw_rect_outline
bloodprg	0x003b85	crates/commander-blood-game/src/native/bloodprg/raster_primitives.rs	draw_framebuffer_noise_rect
bloodprg	0x003066	crates/commander-blood-game/src/native/bloodprg/font.rs	draw_bios_font_text
bloodprg	0x003106	crates/commander-blood-game/src/native/bloodprg/font.rs	draw_square_caps_text
bloodprg	0x00356e	crates/commander-blood-game/src/native/bloodprg/font.rs	draw_planar_dialogue_text
bloodprg	0x003630	crates/commander-blood-game/src/native/bloodprg/font.rs	draw_subtitle_reveal_line
bloodprg	0x00a1f3	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	PresentationQueueState::refill_with_rollover_latch
bloodprg	0x00a240	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	presentation_queue_advance_due
bloodprg	0x00a2dd	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	PresentationQueueState::finish_source
bloodprg	0x00a38e	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	PresentationQueueState::begin_entry
bloodprg	0x00a3ad	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	PresentationQueueState::has_room
bloodprg	0x00a3d0	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	PresentationQueueState::consume_entry
bloodprg	0x00a40b	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	PresentationQueueState::source_open_or_draining
bloodprg	0x00a634	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	presentation_resource_enabled
bloodprg	0x00a734	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	PresentationQueueState::enqueue
